a,b,country_a,country_b,same_country,n_items,score,items,opposing
Florencia 13,Tiny Rascal Gang,United States,United States,True,3,3,"['Bloods', 'Crips', 'Norteños']",['Crips']
Mara Salvatrucha,Santa Monica 13,United States,United States,True,2,3,"['18th Street Gang', 'Crips']",[]
Mexican Mafia,Ñetas,United States,Puerto Rico,False,2,3,"['Crips', 'Mara Salvatrucha']",['Mara Salvatrucha']
Nazi Lowriders,OVS,United States,United States,True,3,3,"['Black Guerrilla Family', 'Bloods', 'Crips']",[]
18th Street Gang,Black Gangster Disciples Nation,United States,United States,True,2,3,"['Almighty Black P. Stone Nation', 'Bloods']",[]
38th Street Gang,Crips,United States,United States,True,3,3,"['Bloods', 'Florencia 13', 'Playboys']",['Bloods']
Asian Boyz,Mara Salvatrucha,United States,United States,True,2,3,"['Bloods', 'Tiny Rascal Gang']",[]
18th Street Gang,Los Metros,United States,Mexico,False,3,3,"['Gulf Cartel', 'Los Zetas', 'Sinaloa Cartel']",['Los Zetas']
Barrio Azteca,Logan Heights Gang,United States,United States,True,2,3,"['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']",[]
Barrio Azteca,Los Ciclones,United States,Mexico,False,2,3,"['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']",['Cártel de Jalisco Nueva Generación']
Barrio Azteca,Los Negros,United States,Mexico,False,2,3,"['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']",['Sinaloa Cartel']
Beltrán-Leyva Organization,Cártel de Caborca,Mexico,Mexico,True,2,3,"['Gulf Cartel', 'Sinaloa Cartel']",['Sinaloa Cartel']
Beltrán-Leyva Organization,Logan Heights Gang,Mexico,United States,False,2,3,"['Mara Salvatrucha', 'Sinaloa Cartel']",['Sinaloa Cartel']
Cártel de Caborca,Guerreros Unidos,Mexico,Mexico,True,2,3,"['Gulf Cartel', 'Sinaloa Cartel']",[]
Cártel de Caborca,Los Ciclones,Mexico,Mexico,True,2,3,"['Cártel del Noreste', 'Sinaloa Cartel']",[]
Cártel de Caborca,Los Metros,Mexico,Mexico,True,3,3,"['Cártel del Noreste', 'Gulf Cartel', 'Sinaloa Cartel']",[]
Cártel de Caborca,Los Negros,Mexico,Mexico,True,2,3,"['Gulf Cartel', 'Sinaloa Cartel']",['Sinaloa Cartel']
Cártel del Noreste,Fuerzas Especiales Grupo Sombra,Mexico,,,2,3,"['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']",[]
Fuerzas Especiales Grupo Sombra,Guerreros Unidos,,Mexico,,2,3,"['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']",['Cártel de Jalisco Nueva Generación']
Fuerzas Especiales Grupo Sombra,Los Mazatlecos,,Mexico,,2,3,"['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']",[]
Fuerzas Especiales Grupo Sombra,Los Zetas,,Mexico,,2,3,"['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']",['Sinaloa Cartel']
Guerreros Unidos,Logan Heights Gang,Mexico,United States,False,2,3,"['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']",['Cártel de Jalisco Nueva Generación']
Gulf Cartel,Tren de Aragua,Mexico,Venezuela,False,2,3,"['18th Street Gang', 'Sinaloa Cartel']",['Sinaloa Cartel']
La Línea,Los Ciclones,Mexico,Mexico,True,2,3,"['Cártel del Noreste', 'Sinaloa Cartel']",[]
Logan Heights Gang,Los Ciclones,United States,Mexico,False,2,3,"['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']",['Cártel de Jalisco Nueva Generación']
Logan Heights Gang,Los Mazatlecos,United States,Mexico,False,2,3,"['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']",[]
Logan Heights Gang,Tren de Aragua,United States,Venezuela,False,2,3,"['Latin Kings', 'Sinaloa Cartel']",[]
Los Ciclones,Los Mazatlecos,Mexico,Mexico,True,2,3,"['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']",['Cártel de Jalisco Nueva Generación']
Los Negros,Tren de Aragua,Mexico,Venezuela,False,2,3,"['18th Street Gang', 'Sinaloa Cartel']",['Sinaloa Cartel']
Los Zetas,Tren de Aragua,Mexico,Venezuela,False,2,3,"['18th Street Gang', 'Sinaloa Cartel']",['Sinaloa Cartel']
Crips,Culver City Boys,United States,United States,True,3,3,"['18th Street Gang', 'Santa Monica 13', 'Venice 13']",[]
Bloods,Playboys (gang),United States,United States,True,3,3,"['18th Street Gang', '38th Street Gang', 'Florencia 13']",[]
Playboys,Playboys (gang),,United States,,3,3,"['18th Street Gang', '38th Street Gang', 'Florencia 13']",[]
18th Street Gang,Knights Templar Cartel,United States,Mexico,False,2,3,"['Los Zetas', 'Mara Salvatrucha']",[]
Cártel de Jalisco Nueva Generación,Los Ántrax,Mexico,Mexico,True,2,3,"['Los Mazatlecos', 'Los Zetas']",[]
Cártel de Santa Rosa de Lima,Los Negros,Mexico,Mexico,True,2,3,"['Cártel de Jalisco Nueva Generación', 'Los Zetas']",['Los Zetas']
Gente Nueva,Los Ciclones,Mexico,Mexico,True,3,3,"['Cártel de Jalisco Nueva Generación', 'Juárez Cartel', 'Los Zetas']",['Cártel de Jalisco Nueva Generación']
Gulf Cartel,Los Ántrax,Mexico,Mexico,True,3,3,"['Beltrán-Leyva Organization', 'Los Mazatlecos', 'Los Zetas']",['Los Zetas']
Knights Templar Cartel,Mexican Mafia,Mexico,United States,False,2,3,"['Los Zetas', 'Mara Salvatrucha']",['Mara Salvatrucha']
Los Ciclones,Milenio Cartel,Mexico,Mexico,True,2,3,"['Los Zetas', 'Tijuana Cartel']",['Los Zetas']
Logan Heights Gang,Tiny Rascal Gang,United States,United States,True,3,3,"['Latin Kings', 'Mara Salvatrucha', 'Norteños']",[]
Cártel de los Rojos,Cárteles Unidos,Mexico,Mexico,True,2,3,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel']",[]
Cártel de los Rojos,Los Mazatlecos,Mexico,Mexico,True,2,3,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel']",[]
Cártel de los Rojos,Los Negros,Mexico,Mexico,True,3,3,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'La Familia Michoacana']",[]
Cártel del Noreste,Cárteles Unidos,Mexico,Mexico,True,2,3,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel']",['Gulf Cartel']
Cartel de La Guajira,Los Paisas,Colombia,Colombia,True,2,3,"['Clan del Golfo', 'Tren de Aragua']",['Clan del Golfo']
Cartel de La Guajira,National Liberation Army (Colombia),Colombia,Colombia,True,2,3,"['Clan del Golfo', 'Tren de Aragua']",['Clan del Golfo']
Cartel de La Guajira,Oficina de Envigado,Colombia,Colombia,True,2,3,"['Clan del Golfo', 'Tren de Aragua']",['Clan del Golfo']
Almighty Insane Popes Nation,Black Gangster Disciples Nation,United States,United States,True,3,3,"['Almighty Black P. Stone Nation', 'Latin Kings', 'People Nation']",[]
Almighty Insane Popes Nation,Crips,United States,United States,True,3,3,"['Almighty Black P. Stone Nation', 'Latin Kings', 'People Nation']",[]
Almighty Insane Popes Nation,La Raza Nation,United States,United States,True,3,3,"['Almighty Black P. Stone Nation', 'Latin Kings', 'People Nation']",[]
Black Disciples,Crips,United States,United States,True,2,3,"['Almighty Black P. Stone Nation', 'Almighty Vice Lord Nation']",[]
Armenian Power,Norteños,United States,United States,True,3,3,"['18th Street Gang', 'Mara Salvatrucha', 'White Fence']",['18th Street Gang']
Armenian Power,Westside Locos,United States,United States,True,2,3,"['Mara Salvatrucha', 'Toonerville Rifa 13']",[]
Bloods,Los Negros,United States,Mexico,False,2,3,"['18th Street Gang', 'Mara Salvatrucha']",['Mara Salvatrucha']
Crips,Los Zetas,United States,Mexico,False,3,3,"['18th Street Gang', 'Mara Salvatrucha', 'Mexican Mafia']",['Mara Salvatrucha']
Los Negros,Sombra Negra,Mexico,El Salvador,False,2,3,"['18th Street Gang', 'Mara Salvatrucha']",['Mara Salvatrucha']
Bloods,Vineland Boys,United States,United States,True,2,3,"['18th Street Gang', 'Mexican Mafia']",[]
Crips,Tren de Aragua,United States,Venezuela,False,2,3,"['18th Street Gang', 'Latin Kings']",[]
Crips,Vineland Boys,United States,United States,True,2,3,"['18th Street Gang', 'Mexican Mafia']",[]
Norteños,Vineland Boys,United States,United States,True,2,3,"['18th Street Gang', 'Mexican Mafia']",['18th Street Gang']
Almighty Saints,Almighty Vice Lord Nation,United States,United States,True,2,3,"['Black Gangster Disciples Nation', 'Maniac Latin Disciples']",[]
Almighty Saints,Mickey Cobras,United States,United States,True,2,3,"['Black Gangster Disciples Nation', 'Maniac Latin Disciples']",[]
Almighty Saints,Taylor Street Jousters,United States,United States,True,3,3,"['Black Gangster Disciples Nation', 'Latin Kings', 'Satan Disciples']",['Latin Kings']
Latin Kings,Mickey Cobras,United States,United States,True,2,3,"['Black Gangster Disciples Nation', 'Maniac Latin Disciples']",[]
Artistas Asesinos,Cártel del Noreste,Mexico,Mexico,True,3,3,"['Cártel de Jalisco Nueva Generación', 'Juárez Cartel', 'Los Chapitos']",[]
Artistas Asesinos,La Mayiza,Mexico,,,3,3,"['Cártel de Jalisco Nueva Generación', 'Juárez Cartel', 'Los Chapitos']",[]
Cártel del Noreste,Gente Nueva,Mexico,Mexico,True,3,3,"['Cártel de Jalisco Nueva Generación', 'Juárez Cartel', 'La Línea']",[]
Cártel del Noreste,Zetas Vieja Escuela,Mexico,Mexico,True,2,3,"['Cártel de Jalisco Nueva Generación', 'Los Ciclones']",[]
Gente Nueva,La Nueva Familia Michoacana,Mexico,Mexico,True,2,3,"['Cártel de Jalisco Nueva Generación', 'Knights Templar Cartel']",['Knights Templar Cartel']
Knights Templar Cartel,La Mayiza,Mexico,,,3,3,"['Cártel de Jalisco Nueva Generación', 'Gente Nueva', 'Juárez Cartel']",['Cártel de Jalisco Nueva Generación']
La Mayiza,Los Zetas,,Mexico,,3,3,"['Cártel de Jalisco Nueva Generación', 'Gente Nueva', 'Juárez Cartel']",['Juárez Cartel']
La Nueva Familia Michoacana,Zetas Vieja Escuela,Mexico,Mexico,True,2,3,"['Cártel de Jalisco Nueva Generación', 'Los Ciclones']",[]
Los Zetas,Zetas Vieja Escuela,Mexico,Mexico,True,2,3,"['Cártel de Jalisco Nueva Generación', 'Los Ciclones']",[]
Sinaloa Cartel,Zetas Vieja Escuela,Mexico,Mexico,True,2,3,"['Cártel de Jalisco Nueva Generación', 'Los Ciclones']",['Cártel de Jalisco Nueva Generación']
Tijuana Cartel,Zetas Vieja Escuela,Mexico,Mexico,True,2,3,"['Cártel de Jalisco Nueva Generación', 'Los Ciclones']",['Cártel de Jalisco Nueva Generación']
Grupo 27,La Rompe ONU,,,,2,3,"['Martinez Familia Sangeros', 'Ñetas']",[]
Cártel Independiente de Sonora,Cártel del Noreste,Mexico,Mexico,True,3,3,"['Juárez Cartel', 'La Línea', 'Los Chapitos']",[]
La Mayiza,Los Mexicles,,Mexico,,2,3,"['Juárez Cartel', 'La Línea']",['La Línea']
Almighty Insane Popes Nation,Latin Eagles,United States,United States,True,3,3,"['Latin Kings', 'People Nation', 'Spanish Cobras']",['Spanish Cobras']
Almighty Saints,Simon City Royals,United States,United States,True,3,3,"['Latin Kings', 'Maniac Latin Disciples', 'People Nation']",['Latin Kings']
Almighty Saints,Spanish Cobras,United States,United States,True,3,3,"['Latin Kings', 'Maniac Latin Disciples', 'People Nation']",['Latin Kings']
Crips,Spanish Cobras,United States,United States,True,2,3,"['Latin Kings', 'People Nation']",[]
La Raza Nation,Spanish Gangster Disciples,United States,United States,True,3,3,"['Latin Counts', 'Latin Kings', 'Maniac Latin Disciples']",['Latin Kings']
Maniac Latin Disciples,Taylor Street Jousters,United States,United States,True,3,3,"['Harrison Gents', 'Latin Kings', 'Simon City Royals']",[]
Insane Deuces,Maniac Latin Disciples,,United States,,3,3,"['Almighty Gaylords Nation', 'Latin Counts', 'Simon City Royals']",[]
Latin Kings,Los Choneros,United States,Ecuador,False,2,3,"['Los Chone Killers', 'Los Lobos']",[]
Hells Angels Motorcycle Club,Killer Beez,United States,New Zealand,False,2,3,"['Mongrel Mob', 'Tribesmen Motorcycle Club']",[]
Black Cobra,Gremium Motorcycle Club,Denmark,Germany,False,2,3,"['Bandidos Motorcycle Club', 'X-Team']",[]
Comanchero Motorcycle Club,Rockers Motor Club,Australia,Canada,False,2,3,"['Bandidos Motorcycle Club', 'Rock Machine Motorcycle Club']",[]
Cossacks Motorcycle Club,Outlaws Motorcycle Club,United States,United States,True,2,3,"['Bandidos Motorcycle Club', 'Diablos Motorcycle Club']",['Bandidos Motorcycle Club']
Rebels Motorcycle Club,Rockers Motor Club,Australia,Canada,False,2,3,"['Bandidos Motorcycle Club', 'Rock Machine Motorcycle Club']",[]
Red Devils Motorcycle Club,Rockers Motor Club,Sweden,Canada,False,2,3,"['Bandidos Motorcycle Club', 'Rock Machine Motorcycle Club']",[]
AK81,Bandidos Motorcycle Club,Denmark,United States,False,2,3,"['Black Cobra', 'Loyal to Familia']",[]
Bandidos Motorcycle Club,Dirty Dozen Motorcycle Club,United States,United States,True,2,3,"['Mongols MC', 'Vagos Motorcycle Club']",[]
Al-Nusra Front,Badr Organization,Syria,Iraq,False,2,3,"['Al-Qaeda', 'Islamic State']",['Islamic State']
Al-Qaeda,Tahrir al-Sham,Saudi Arabia,,,2,3,"['Al-Nusra Front', 'Islamic State']",['Islamic State']
Al-Qaeda,Wagner Group,Saudi Arabia,Russia,False,2,3,"['Al-Nusra Front', 'Islamic State']",['Islamic State']
Asa'ib Ahl al-Haq,Harakat Hezbollah al-Nujaba,,,,3,3,"['Ahrar al-Sham', 'Al-Nusra Front', 'Islamic State']",[]
Asa'ib Ahl al-Haq,Hezbollah,,Lebanon,,3,3,"['Ahrar al-Sham', 'Al-Nusra Front', 'Islamic State']",[]
Asa'ib Ahl al-Haq,Kata'ib Sayyid al-Shuhada,,,,3,3,"['Ahrar al-Sham', 'Al-Nusra Front', 'Islamic State']",[]
Asa'ib Ahl al-Haq,Liwa Fatemiyoun,,,,3,3,"['Ahrar al-Sham', 'Al-Nusra Front', 'Islamic State']",[]
Asa'ib Ahl al-Haq,Liwa Zainebiyoun,,,,3,3,"['Ahrar al-Sham', 'Al-Nusra Front', 'Islamic State']",[]
Asa'ib Ahl al-Haq,Tahrir al-Sham,,,,3,3,"['Ahrar al-Sham', 'Al-Nusra Front', 'Islamic State']",[]
Badr Organization,Houthis,Iraq,Yemen,False,2,3,"['Al-Qaeda', 'Islamic State']",['Al-Qaeda']
Badr Organization,Kurdistan Workers' Party,Iraq,Turkey,False,2,3,"['Al-Qaeda', 'Islamic State']",[]
Harakat Hezbollah al-Nujaba,Hezbollah,,Lebanon,,3,3,"['Ahrar al-Sham', 'Al-Nusra Front', 'Islamic State']",[]
Harakat Hezbollah al-Nujaba,Kata'ib Sayyid al-Shuhada,,,,3,3,"['Ahrar al-Sham', 'Al-Nusra Front', 'Islamic State']",[]
Harakat Hezbollah al-Nujaba,Liwa Fatemiyoun,,,,3,3,"['Ahrar al-Sham', 'Al-Nusra Front', 'Islamic State']",[]
Harakat Hezbollah al-Nujaba,Liwa Zainebiyoun,,,,3,3,"['Ahrar al-Sham', 'Al-Nusra Front', 'Islamic State']",[]
Harakat Hezbollah al-Nujaba,Tahrir al-Sham,,,,3,3,"['Ahrar al-Sham', 'Al-Nusra Front', 'Islamic State']",[]
Hezbollah,Kata'ib Sayyid al-Shuhada,Lebanon,,,3,3,"['Ahrar al-Sham', 'Al-Nusra Front', 'Islamic State']",[]
Hezbollah,Liwa Fatemiyoun,Lebanon,,,3,3,"['Ahrar al-Sham', 'Al-Nusra Front', 'Islamic State']",[]
Hezbollah,Liwa Zainebiyoun,Lebanon,,,3,3,"['Ahrar al-Sham', 'Al-Nusra Front', 'Islamic State']",[]
Hezbollah,Wagner Group,Lebanon,Russia,False,2,3,"['Al-Nusra Front', 'Islamic State']",[]
Kata'ib Sayyid al-Shuhada,Liwa Fatemiyoun,,,,3,3,"['Ahrar al-Sham', 'Al-Nusra Front', 'Islamic State']",[]
Kata'ib Sayyid al-Shuhada,Liwa Zainebiyoun,,,,3,3,"['Ahrar al-Sham', 'Al-Nusra Front', 'Islamic State']",[]
Kata'ib Sayyid al-Shuhada,Tahrir al-Sham,,,,3,3,"['Ahrar al-Sham', 'Al-Nusra Front', 'Islamic State']",[]
Kurdistan Workers' Party,Tahrir al-Sham,Turkey,,,2,3,"['Al-Nusra Front', 'Islamic State']",[]
Kurdistan Workers' Party,Wagner Group,Turkey,Russia,False,2,3,"['Al-Nusra Front', 'Islamic State']",[]
Liwa Fatemiyoun,Liwa Zainebiyoun,,,,3,3,"['Ahrar al-Sham', 'Al-Nusra Front', 'Islamic State']",[]
Liwa Fatemiyoun,Tahrir al-Sham,,,,3,3,"['Ahrar al-Sham', 'Al-Nusra Front', 'Islamic State']",[]
Liwa Zainebiyoun,Tahrir al-Sham,,,,3,3,"['Ahrar al-Sham', 'Al-Nusra Front', 'Islamic State']",[]
