a,b,country_a,country_b,same_country,n_items,score,items,opposing
Nazi Lowriders,Sex Money Murder,United States,United States,True,2,2,"['Black Guerrilla Family', 'Crips']",[]
Nazi Lowriders,Ñetas,United States,Puerto Rico,False,2,2,"['Crips', 'Mara Salvatrucha']",[]
OVS,Sex Money Murder,United States,United States,True,2,2,"['Black Guerrilla Family', 'Crips']",[]
OVS,Tiny Rascal Gang,United States,United States,True,2,2,"['Bloods', 'Crips']",['Crips']
People Nation,Sex Money Murder,United States,United States,True,2,2,"['Black Gangster Disciples Nation', 'Crips']",[]
People Nation,Trinitarios,United States,United States,True,2,2,"['Black Gangster Disciples Nation', 'Crips']",[]
Playboys,Santa Monica 13,,United States,,2,2,"['18th Street Gang', 'Crips']",[]
Playboys,Venice 13,,United States,,2,2,"['18th Street Gang', 'Crips']",['18th Street Gang']
Sex Money Murder,Trinitarios,United States,United States,True,2,2,"['Black Gangster Disciples Nation', 'Crips']",[]
Aryan Brotherhood of Texas,Big Circle Gang,United States,China,False,2,2,"['Aryan Brotherhood', 'Aryan Circle']",[]
Almighty Black P. Stone Nation,Norteños,United States,United States,True,2,2,"['18th Street Gang', 'Aryan Brotherhood']",['18th Street Gang']
18th Street Gang,Cártel de Caborca,United States,Mexico,False,2,2,"['Gulf Cartel', 'Sinaloa Cartel']",[]
18th Street Gang,Cártel del Noreste,United States,Mexico,False,2,2,"['Gulf Cartel', 'Sinaloa Cartel']",['Gulf Cartel']
18th Street Gang,Fuerza Anti-Unión,United States,Mexico,False,2,2,"['Sinaloa Cartel', 'Tren de Aragua']",[]
18th Street Gang,Guerreros Unidos,United States,Mexico,False,2,2,"['Gulf Cartel', 'Sinaloa Cartel']",[]
18th Street Gang,Los Ciclones,United States,Mexico,False,2,2,"['Los Zetas', 'Sinaloa Cartel']",[]
18th Street Gang,Los Mazatlecos,United States,Mexico,False,2,2,"['Gulf Cartel', 'Sinaloa Cartel']",[]
18th Street Gang,South Pacific Cartel,United States,Mexico,False,2,2,"['Gulf Cartel', 'Sinaloa Cartel']",[]
Barrio Azteca,Cártel del Noreste,United States,Mexico,False,2,2,"['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']",[]
Barrio Azteca,Fuerzas Especiales Grupo Sombra,United States,,,2,2,"['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']",[]
Chiapas–Guatemala Cartel,Cártel de Caborca,Mexico,Mexico,True,2,2,"['La Mayiza', 'Sinaloa Cartel']",[]
Chiapas–Guatemala Cartel,Juárez Cartel,Mexico,Mexico,True,2,2,"['La Mayiza', 'Sinaloa Cartel']",['Sinaloa Cartel']
Chiapas–Guatemala Cartel,La Línea,Mexico,Mexico,True,2,2,"['La Mayiza', 'Sinaloa Cartel']",[]
Cártel de Caborca,South Pacific Cartel,Mexico,Mexico,True,2,2,"['Gulf Cartel', 'Sinaloa Cartel']",[]
Cártel del Noreste,Fuerza Anti-Unión,Mexico,Mexico,True,2,2,"['La Familia Michoacana', 'Sinaloa Cartel']",[]
Cártel del Noreste,Independent Cartel of Acapulco,Mexico,Mexico,True,2,2,"['La Familia Michoacana', 'Sinaloa Cartel']",[]
Cártel del Noreste,La Empresa,Mexico,Colombia,False,2,2,"['Juárez Cartel', 'Sinaloa Cartel']",[]
Cártel del Noreste,Logan Heights Gang,Mexico,United States,False,2,2,"['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']",[]
Cártel del Noreste,South Pacific Cartel,Mexico,Mexico,True,2,2,"['Gulf Cartel', 'Sinaloa Cartel']",['Gulf Cartel']
Fuerza Anti-Unión,Guerreros Unidos,Mexico,Mexico,True,2,2,"['La Familia Michoacana', 'Sinaloa Cartel']",['La Familia Michoacana']
Fuerza Anti-Unión,Independent Cartel of Acapulco,Mexico,Mexico,True,2,2,"['La Familia Michoacana', 'Sinaloa Cartel']",[]
Fuerza Anti-Unión,Los Negros,Mexico,Mexico,True,2,2,"['La Familia Michoacana', 'Sinaloa Cartel']",['Sinaloa Cartel']
Fuerzas Especiales Grupo Sombra,Logan Heights Gang,,United States,,2,2,"['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']",[]
Fuerzas Especiales Grupo Sombra,Los Ciclones,,Mexico,,2,2,"['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']",['Cártel de Jalisco Nueva Generación']
Fuerzas Especiales Grupo Sombra,Los Negros,,Mexico,,2,2,"['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']",['Sinaloa Cartel']
Independent Cartel of Acapulco,La Unión Tepito,Mexico,Mexico,True,2,2,"['La Familia Michoacana', 'Sinaloa Cartel']",['Sinaloa Cartel']
La Empresa,Los Ciclones,Colombia,Mexico,False,2,2,"['Juárez Cartel', 'Sinaloa Cartel']",[]
La Línea,Los Metros,Mexico,Mexico,True,2,2,"['Cártel del Noreste', 'Sinaloa Cartel']",[]
Logan Heights Gang,Los Lobos,United States,Ecuador,False,2,2,"['Latin Kings', 'Sinaloa Cartel']",[]
Los Mazatlecos,Los Metros,Mexico,Mexico,True,2,2,"['Gulf Cartel', 'Sinaloa Cartel']",[]
Los Metros,South Pacific Cartel,Mexico,Mexico,True,2,2,"['Gulf Cartel', 'Sinaloa Cartel']",[]
Los Negros,South Pacific Cartel,Mexico,Mexico,True,2,2,"['Gulf Cartel', 'Sinaloa Cartel']",['Sinaloa Cartel']
18th Street Gang,Grave Yard Gangsta Crips,United States,,,2,2,"['Santa Monica 13', 'Venice 13']",['Venice 13']
Crips,Grave Yard Gangsta Crips,United States,,,2,2,"['Santa Monica 13', 'Venice 13']",[]
Culver City Boys,Grave Yard Gangsta Crips,United States,,,2,2,"['Santa Monica 13', 'Venice 13']",[]
Grave Yard Gangsta Crips,Venice Shoreline Crips,,United States,,2,2,"['Santa Monica 13', 'Venice 13']",['Venice 13']
Crips,Playboys (gang),United States,United States,True,2,2,"['18th Street Gang', 'Florencia 13']",[]
Norteños,Playboys,United States,,,2,2,"['18th Street Gang', 'Florencia 13']",['18th Street Gang']
Norteños,Playboys (gang),United States,United States,True,2,2,"['18th Street Gang', 'Florencia 13']",['18th Street Gang']
18th Street Gang,Cárteles Unidos,United States,Mexico,False,2,2,"['Gulf Cartel', 'Los Zetas']",[]
18th Street Gang,Milenio Cartel,United States,Mexico,False,2,2,"['Gulf Cartel', 'Los Zetas']",['Los Zetas']
Cártel de Jalisco Nueva Generación,EPR,Mexico,,,2,2,"['Guerreros Unidos', 'Los Zetas']",['Guerreros Unidos']
Cártel de Jalisco Nueva Generación,Mexican Mafia,Mexico,United States,False,2,2,"['Barrio Azteca', 'Los Zetas']",[]
Cártel de Santa Rosa de Lima,Gente Nueva,Mexico,Mexico,True,2,2,"['Cártel de Jalisco Nueva Generación', 'Los Zetas']",[]
Cárteles Unidos,Gente Nueva,Mexico,Mexico,True,2,2,"['Cártel de Jalisco Nueva Generación', 'Los Zetas']",[]
Cárteles Unidos,Los Ántrax,Mexico,Mexico,True,2,2,"['Beltrán-Leyva Organization', 'Los Zetas']",[]
EPR,Gulf Cartel,,Mexico,,2,2,"['Guerreros Unidos', 'Los Zetas']",['Los Zetas']
EPR,Knights Templar Cartel,,Mexico,,2,2,"['Guerreros Unidos', 'Los Zetas']",[]
EPR,Sinaloa Cartel,,Mexico,,2,2,"['Guerreros Unidos', 'Los Zetas']",['Los Zetas']
Gente Nueva,Los Negros,Mexico,Mexico,True,2,2,"['Cártel de Jalisco Nueva Generación', 'Los Zetas']",['Los Zetas']
Gente Nueva,Milenio Cartel,Mexico,Mexico,True,2,2,"['Knights Templar Cartel', 'Los Zetas']",['Los Zetas']
Knights Templar Cartel,Los Ántrax,Mexico,Mexico,True,2,2,"['Beltrán-Leyva Organization', 'Los Zetas']",['Beltrán-Leyva Organization']
Los Negros,Los Ántrax,Mexico,Mexico,True,2,2,"['Beltrán-Leyva Organization', 'Los Zetas']",['Los Zetas']
Los Ántrax,Mara Salvatrucha,Mexico,United States,False,2,2,"['Beltrán-Leyva Organization', 'Los Zetas']",['Los Zetas']
18th Street Gang,White Fence,United States,United States,True,2,2,"['Armenian Power', 'Norteños']",['Norteños']
Border Brothers,Mexican Mafia,,United States,,2,2,"['Barrio Azteca', 'Norteños']",[]
Fresno Bulldogs,Nazi Lowriders,United States,United States,True,2,2,"['Norteños', 'Nuestra Familia']",[]
Logan Heights Gang,Nazi Lowriders,United States,United States,True,2,2,"['Mara Salvatrucha', 'Norteños']",[]
Mara Salvatrucha,White Fence,United States,United States,True,2,2,"['Armenian Power', 'Norteños']",[]
Cártel de Caborca,La Familia Michoacana,Mexico,Mexico,True,2,2,"['Cártel del Noreste', 'Gulf Cartel']",['Gulf Cartel']
Cártel de los Rojos,Milenio Cartel,Mexico,Mexico,True,2,2,"['Gulf Cartel', 'La Familia Michoacana']",['La Familia Michoacana']
Cártel de los Rojos,South Pacific Cartel,Mexico,Mexico,True,2,2,"['Guerreros Unidos', 'Gulf Cartel']",['Guerreros Unidos']
18th Street Gang,Los Rojos,United States,Mexico,False,2,2,"['Los Negros', 'Mara Salvatrucha']",[]
