a,b,country_a,country_b,same_country,n_coop_partners,coop_partners,n_adversaries,adversaries
Golden Hawk Riders,Hells Angels Motorcycle Club,,United States,,1,"[""Satan's Choice Motorcycle Club""]",1,"[""Satan's Choice Motorcycle Club""]"
Comanchero Motorcycle Club,Miri clan,Australia,Germany,False,1,['Hells Angels Motorcycle Club'],1,['Bandidos Motorcycle Club']
Inzerillo Mafia clan,Minore Mafia clan,Italy,Italy,True,1,['Catania Mafia family'],1,['Corleonesi']
Knights Templar Cartel,Zetas Vieja Escuela,Mexico,Mexico,True,1,['Gulf Cartel'],1,['Cártel de Jalisco Nueva Generación']
Los Metros,Tren de Aragua,Mexico,Venezuela,False,1,['Cártel de Jalisco Nueva Generación'],1,['Sinaloa Cartel']
Almighty Black P. Stone Nation,United Blood Nation,United States,United States,True,1,['Bloods'],1,['Crips']
Old Trafford Cripz,Young Gooch,,,,1,['Gooch Close Gang'],1,['Longsight Crew']
Gypsy Joker Motorcycle Club,Rockers Motor Club,United States,Canada,False,1,['Outlaws Motorcycle Club'],1,['Bandidos Motorcycle Club']
Comanchero Motorcycle Club,Loners Motorcycle Club,Australia,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Commisso 'ndrina,White Boy Posse,Italy,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Independent Soldiers']
Bloods,Gulf Cartel,United States,Mexico,False,1,['Latin Kings'],1,['18th Street Gang']
Iron Horsemen Motorcycle Club,Merciless Souls Motorcycle Club,United States,,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Gulf Cartel,Venice 13,Mexico,United States,False,1,['Mexican Mafia'],1,['18th Street Gang']
Los Caparrapos,Tren de Aragua,Colombia,Venezuela,False,1,['Cártel de Jalisco Nueva Generación'],1,['Clan del Golfo']
Los Zetas,Mongols MC,Mexico,United States,False,1,['Tijuana Cartel'],1,['Mexican Mafia']
Los Mexicles,Puro Tango Blast,Mexico,United States,False,1,['Gulf Cartel'],1,['Barrio Azteca']
Tijuana Cartel,Tongan Crip Gang,Mexico,United States,False,1,['18th Street Gang'],1,['Mara Salvatrucha']
Nuova Famiglia,Sacra Corona Unita,Italy,Italy,True,1,['American Mafia'],1,['Nuova Camorra Organizzata']
Desperados Motorcycle Club,Devils Diciples Motorcycle Club,,United States,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Almighty Black P. Stone Nation,OutLaw Gangster Disciples,United States,United States,True,1,['Black Guerrilla Family'],1,['Black Disciples']
Fuerza Anti-Unión,Juárez Cartel,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],1,['Sinaloa Cartel']
Dark Circle,Manitoba Warriors,,Canada,,1,['Rock Machine Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Clan Mazzarella,Nuova camorra pugliese,Italy,Italy,True,1,"[""'Ndrangheta""]",1,['Nuova Camorra Organizzata']
Red Scorpions,Satudarah,Canada,Netherlands,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Mongols MC,Warlocks Motorcycle Club (Florida),United States,United States,True,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Bonde dos 40,Primeiro Grupo Catarinense,Brazil,Brazil,True,1,['Comando Vermelho'],1,['Primeiro Comando da Capital']
Desperados Motorcycle Club,Loners Motorcycle Club,,Canada,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Hell's Henchmen MC,Merciless Souls Motorcycle Club,,,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Nuova Camorra Organizzata,Rosa dei Venti,Italy,,,1,"[""'Ndrangheta""]",1,['Sacra Corona Unita']
19th of April Movement,Los Pepes,Colombia,Colombia,True,1,['Cartel de Medellín'],1,['Cartel de Medellín']
Breed Motorcycle Club,Satan's Choice Motorcycle Club,United States,Canada,False,1,['Outlaws Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Barrio Azteca,Los Ardillos,United States,Mexico,False,1,['Beltrán-Leyva Organization'],1,['Cártel de Jalisco Nueva Generación']
Hells Angels Motorcycle Club,Vagabonds MC,United States,,,1,['Bacchus Motorcycle Club'],1,"[""Satan's Choice Motorcycle Club""]"
Desperados Motorcycle Club,Warlocks MC,,,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Al-Nusra Front,Al-Shabaab,Syria,Somalia,False,1,['Al-Qaeda in the Arabian Peninsula'],1,['Islamic State']
Crips,Juárez Cartel,United States,Mexico,False,1,['Sinaloa Cartel'],1,['Mara Salvatrucha']
Los Ciclones,Los Talibanes,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],1,['Cártel de Jalisco Nueva Generación']
Barrio Azteca,Cártel de los Rojos,United States,Mexico,False,1,['Los Zetas'],1,['Cártel de Jalisco Nueva Generación']
Black Pistons Motorcycle Club,Pagan's Motorcycle Club,Germany,United States,False,1,['Outlaws Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Camorra clan Zaza,Clan Fabbrocino,,Italy,,1,['Nuova Famiglia'],1,['Nuova Camorra Organizzata']
Clan Sarno,Rinaldi clan,Italy,Italy,True,1,['Aprea-Cuccaro clan'],1,['Clan Mazzarella']
Remo Lecce Libera,Rosa dei Venti,,,,1,"[""'Ndrangheta""]",1,['Sacra Corona Unita']
Catania Mafia family,Clan Laudani,Italy,,,1,['Clan dei Cursoti'],1,['Clan Cappello']
Cártel de Santa Rosa de Lima,La Unión Tepito,Mexico,Mexico,True,1,['Sinaloa Cartel'],1,['Cártel de Jalisco Nueva Generación']
Os Manos,Terceiro Comando Puro,Brazil,Brazil,True,1,['Primeiro Comando da Capital'],1,['Comando Vermelho']
Los Choneros,Tijuana Cartel,Ecuador,Mexico,False,1,['Sinaloa Cartel'],1,['Cártel de Jalisco Nueva Generación']
Los Zetas,Yakuza,Mexico,Japan,False,1,['Sinaloa Cartel'],1,['Cárteles Unidos']
Chosen Few Motorcycle Club,Diablos Motorcycle Club,United States,United States,True,1,"[""Satan's Choice Motorcycle Club""]",1,['Outlaws Motorcycle Club']
Devils Diciples Motorcycle Club,Diablos Motorcycle Club,United States,United States,True,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Fuerza Anti-Unión,Los Viagras,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],1,['La Familia Michoacana']
Armenian Power,Latin Kings,United States,United States,True,1,['American Mafia'],1,['Mara Salvatrucha']
La Unión Tepito,Oficina de Envigado,Mexico,Colombia,False,1,['Sinaloa Cartel'],1,['Tren de Aragua']
Los Ciclones,Tren de Aragua,Mexico,Venezuela,False,1,['Cártel de Jalisco Nueva Generación'],1,['Sinaloa Cartel']
Los Angeles crime family,Rochester crime family,United States,United States,True,1,['Buffalo crime family'],1,['Buffalo crime family']
Independent Soldiers,Para-Dice Riders,Canada,,,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Black Dragons,Bloods,United States,United States,True,1,['Wah Ching'],1,['Tiny Rascal Gang']
Manitoba Warriors,Satudarah,Canada,Netherlands,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Big Circle Gang,Bonanno crime family,China,United States,False,1,['Rizzuto crime family'],1,['Bloods']
Amigos dos Amigos,Okaida,Brazil,,,1,['Bonde dos 40'],1,['Comando Vermelho']
Juárez Cartel,Organización Beltrán Leyva,Mexico,,,1,['Sinaloa Cartel'],1,['Sinaloa Cartel']
Almighty Black P. Stone Nation,Ñetas,United States,Puerto Rico,False,1,['Latin Kings'],1,['Crips']
Diablos Motorcycle Club,Warlocks MC,United States,,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Commisso 'ndrina,Condello-Rosmini-Imerti,Italy,,,1,"[""'Ndrina Alvaro""]",1,"[""'Ndrina De Stefano""]"
Família Terror do Amapá,Guardiões do Estado,Brazil,Brazil,True,1,['Primeiro Comando da Capital'],1,['Comando Vermelho']
Devils Diciples Motorcycle Club,Red Devils Motorcycle Club,United States,Sweden,False,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Chiapas–Guatemala Cartel,Los Ciclones,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],1,['Sinaloa Cartel']
Bloods,Tren de Aragua,United States,Venezuela,False,1,['American Mafia'],1,['18th Street Gang']
Fukuhaku-kai,Shinwa-kai,Japan,Japan,True,1,['Yamaguchi-gumi'],1,['Yamaguchi-gumi']
Knights Templar Cartel,Los Ardillos,Mexico,Mexico,True,1,['Beltrán-Leyva Organization'],1,['Cártel de Jalisco Nueva Generación']
Clan Matrone,Contini clan,Italy,Italy,True,1,['Nuova Famiglia'],1,['Nuova Camorra Organizzata']
Bonde do Maluco,Os Manos,Brazil,Brazil,True,1,['Primeiro Comando da Capital'],1,['Comando Vermelho']
Comanchero Motorcycle Club,Prisoners of War MC,Australia,,,1,['Hells Angels Motorcycle Club'],1,['Bandidos Motorcycle Club']
'Ndrina Imerti,Latella 'ndrina,Italy,Italy,True,1,"[""'Ndrina Rosmini""]",1,"[""'Ndrina Barreca""]"
Clan Abbinante,Marino clan,Italy,,,1,['Amato-Pagano clan'],1,['Amato-Pagano clan']
Aryan Brotherhood of Texas,Hells Angels Motorcycle Club,United States,United States,True,1,['Mexican Mafia'],1,['Aryan Brotherhood']
Longsight Street Soldiers,Young Gooch,,,,1,['Gooch Close Gang'],1,['Longsight Crew']
Temple Street gang,Tren de Aragua,United States,Venezuela,False,1,['Mara Salvatrucha'],1,['18th Street Gang']
Gulf Cartel,Los Ninis,Mexico,Mexico,True,1,['Sinaloa Cartel'],1,['Beltrán-Leyva Organization']
Aryan Brotherhood,Satan's Choice Motorcycle Club,United States,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
'Ndrina Albanese,Raso,Italy,,,1,"[""'Ndrina Piromalli""]",1,"[""'Ndrina Facchineri""]"
Ahmad family,Bandidos Motorcycle Club,,United States,,1,['Brothers for Life'],1,['Comanchero Motorcycle Club']
Los Metros,Los Mexicles,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],1,['Gulf Cartel']
Houthis,Jaish-e-Mohammed,Yemen,,,1,['Al-Qaeda'],1,['Rapid Support Forces']
Batavia Street Gang,Lenox Avenue Gang,United States,United States,True,1,['Eastman Gang'],1,['Five Points Gang']
Los Chapitos,Mara Salvatrucha,Mexico,United States,False,1,['Cártel de Jalisco Nueva Generación'],1,['Tijuana Cartel']
Latin Kings,Tongan Crip Gang,United States,United States,True,1,['18th Street Gang'],1,['Mara Salvatrucha']
Norteños,Venice 13,United States,United States,True,1,['18th Street Gang'],1,['18th Street Gang']
Jama'at Nasr al-Islam wal-Muslimin,Tahrir al-Sham,,,,1,['Taliban'],1,['Wagner Group']
Independent Soldiers,Rock Machine Motorcycle Club,Canada,Canada,True,1,['Rizzuto crime family'],1,['Hells Angels Motorcycle Club']
Black Gangster Disciples Nation,Killer Beez,United States,New Zealand,False,1,['Crips'],1,['Bloods']
Hells Angels Motorcycle Club,Lucchese crime family New Jersey faction,United States,United States,True,1,['Genovese crime family'],1,['Philadelphia crime family']
Comanchero Motorcycle Club,Independent Soldiers,Australia,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Milenio Cartel,Yakuza,Mexico,Japan,False,1,['Sinaloa Cartel'],1,['Cárteles Unidos']
La Unión Tepito,Los Rojos,Mexico,Mexico,True,1,['Sinaloa Cartel'],1,['Cártel de Jalisco Nueva Generación']
Comanchero Motorcycle Club,Satan's Choice Motorcycle Club,Australia,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Bandidos Motorcycle Club,Breed Motorcycle Club,United States,United States,True,1,['Outlaws Motorcycle Club'],1,['Hells Angels Motorcycle Club']
La Unión Tepito,Latin Kings,Mexico,United States,False,1,['Sinaloa Cartel'],1,['Tren de Aragua']
Aryan Brotherhood of Texas,Puro Tango Blast,United States,United States,True,1,['Gulf Cartel'],1,['Texas Syndicate']
Bonde dos 40,Massa Carcerária,Brazil,Brazil,True,1,['Primeiro Comando da Capital'],1,['Comando Vermelho']
'Ndrina Violi,Commisso 'ndrina,Italy,Italy,True,1,"[""'Ndrina Alvaro""]",1,['Rizzuto crime family']
Almighty Gaylords Nation,Harrison Gents,United States,,,1,['Simon City Royals'],1,['Maniac Latin Disciples']
Los Zetas,Wolfpack Alliance,Mexico,Canada,False,1,['Sinaloa Cartel'],1,['Sinaloa Cartel']
Devils Diciples Motorcycle Club,El Forastero Motorcycle Club,United States,United States,True,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Satan's Choice Motorcycle Club,Warlocks MC,Canada,,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Alameddine crime network,Finks Motorcycle Club,Australia,Australia,True,1,['Comanchero Motorcycle Club'],1,['Brothers for Life']
Nuestra Familia,Tiny Rascal Gang,United States,United States,True,1,['Crips'],1,['Mexican Mafia']
Alkhalil family,Red Scorpions,Palestine,Canada,False,1,['Wolfpack Alliance'],1,['Hells Angels Motorcycle Club']
Black Gangster Disciples Nation,Black Power (New Zealand gang),United States,New Zealand,False,1,['Crips'],1,['Bloods']
La Unión Tepito,National Liberation Army (Colombia),Mexico,Colombia,False,1,['Sinaloa Cartel'],1,['Tren de Aragua']
Amal Movement,Houthis,,Yemen,,1,['Hezbollah'],1,['Islamic State']
Barrio Azteca,Cártel de Caborca,United States,Mexico,False,1,['Juárez Cartel'],1,['Sinaloa Cartel']
Juárez Cartel,Norteños,Mexico,United States,False,1,['18th Street Gang'],1,['Mara Salvatrucha']
Hells Angels Motorcycle Club,MOB Squad,United States,,,1,['Manitoba Warriors'],1,['Indian Posse']
Desperados Motorcycle Club,Satan's Choice Motorcycle Club,,Canada,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Bonde dos 13,Terceiro Comando Puro,Brazil,Brazil,True,1,['Primeiro Comando da Capital'],1,['Comando Vermelho']
Minore Mafia clan,Sicilian Mafia,Italy,Italy,True,1,['Corleonesi'],1,['Corleonesi']
'Ndrina Maesano,'Ndrina Nicoscia,Italy,Italy,True,1,"[""'Ndrina Arena""]",1,"[""'Ndrina Arena""]"
Devils Diciples Motorcycle Club,Sons of Silence,United States,United States,True,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Bonanno crime family,Tanglewood Boys,United States,United States,True,1,['Lucchese crime family'],1,['Genovese crime family']
'Ndrina Giuliano,American Mafia,Italy,United States,False,1,['Nuova Famiglia'],1,['Nuova Camorra Organizzata']
Chicanos Motorcycle Club,Satudarah,Germany,Netherlands,False,1,['Bandidos Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Juárez Cartel,Los Pelones,Mexico,Mexico,True,1,['Gulf Cartel'],1,['Gente Nueva']
Red Devils Motorcycle Club,Warlocks MC,Sweden,,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Mexican Mafia,New Zealand Nomads,United States,New Zealand,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Manitoba Warriors,Outlaws Motorcycle Club,Canada,United States,False,1,['Rock Machine Motorcycle Club'],1,['Hells Angels Motorcycle Club']
El Forastero Motorcycle Club,Red Devils Motorcycle Club,United States,Sweden,False,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Los Choneros,Nueva Plaza Cartel,Ecuador,Mexico,False,1,['Sinaloa Cartel'],1,['Cártel de Jalisco Nueva Generación']
Amirante clan,Clan Brunetti,,,,1,"[""'Ndrina Giuliano""]",1,['Clan Mazzarella']
Manitoba Warriors,Para-Dice Riders,Canada,,,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Aryan Brotherhood,Indian Posse,United States,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Chiapas–Guatemala Cartel,Fuerza Anti-Unión,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],1,['Sinaloa Cartel']
Dhak-Duhre coalition,Dhak-Duhre group,,,,1,['United Nations (gang)'],1,['Wolfpack Alliance']
Cártel del Noreste,Mara Salvatrucha,Mexico,United States,False,1,['Gulf Cartel'],1,['Juárez Cartel']
18th Street Gang,Almighty Vice Lord Nation,United States,United States,True,1,['Latin Kings'],1,['Crips']
Al-Shabaab,Tahrir al-Sham,Somalia,,,1,['Taliban'],1,['Islamic State']
Cárteles Unidos,Guadalajara Cartel,Mexico,Mexico,True,1,['Sinaloa Cartel'],1,['Gulf Cartel']
Guerreros Unidos,Los Lobos,Mexico,Ecuador,False,1,['Cártel de Jalisco Nueva Generación'],1,['Sinaloa Cartel']
'Ndrina Serraino,Latella 'ndrina,Italy,Italy,True,1,"[""'Ndrina Rosmini""]",1,"[""'Ndrina Barreca""]"
La Unión Tepito,Nueva Plaza Cartel,Mexico,Mexico,True,1,['Sinaloa Cartel'],1,['Cártel de Jalisco Nueva Generación']
Nuova Camorra Organizzata,Nuova Camorra Speciale,Italy,,,1,['Clan dei Casalesi'],1,['Clan Fabbrocino']
'Ndrina Accorinti,'Ndrina Fiarè,Italy,Italy,True,1,"[""'Ndrina Mancuso""]",1,"[""'Ndrina Soriano""]"
Hell's Henchmen MC,Original Red Devils Motorcycle Club,,Canada,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Los Negros,Wolfpack Alliance,Mexico,Canada,False,1,['Sinaloa Cartel'],1,['Sinaloa Cartel']
Hell's Henchmen MC,Iron Horsemen Motorcycle Club,,United States,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Crips,Sureños 13,United States,,,1,['Black Gangster Disciples Nation'],1,['18th Street Gang']
Los Mexicles,Martinez Familia Sangeros,Mexico,Puerto Rico,False,1,['Gulf Cartel'],1,['Gulf Cartel']
'Ndrina Imerti,Condello-Rosmini-Imerti,Italy,,,1,"[""'Ndrina Alvaro""]",1,"[""'Ndrina De Stefano""]"
Tijuana Cartel,Toonerville Rifa 13,Mexico,United States,False,1,['Mexican Mafia'],1,['Mara Salvatrucha']
'Ndrina Giuliano,'Ndrina Morabito,Italy,Italy,True,1,['Clan dei Casalesi'],1,"[""'Ndrina Piromalli""]"
Norteños,Trinitarios,United States,United States,True,1,['Bloods'],1,['Tiny Rascal Gang']
Cártel de Jalisco Nueva Generación,Los Pelones,Mexico,Mexico,True,1,['Gulf Cartel'],1,['Gente Nueva']
Corleonesi,Nuova Camorra Organizzata,Italy,Italy,True,1,"[""'Ndrangheta""]",1,['Sicilian Mafia']
Rinaldi clan,Sibillo clan,Italy,,,1,"[""'Ndrina Giuliano""]",1,['Clan Mazzarella']
Almighty Black P. Stone Nation,Sinaloa Cartel,United States,Mexico,False,1,['Latin Kings'],1,['18th Street Gang']
Empire Guards,O'Connell Guards,,,,1,['Bowery Boys'],1,['Dead Rabbits']
Black Mafia,Philadelphia Greek Mob,United States,United States,True,1,['Philadelphia crime family'],1,['Philadelphia crime family']
Anastasio clan,Veneruso clan,,,,1,['Vollaro clan'],1,['Clan Sarno']
Knights Templar Cartel,Nueva Plaza Cartel,Mexico,Mexico,True,1,['Sinaloa Cartel'],1,['Cártel de Jalisco Nueva Generación']
Clan Pariante,Ruocco clan,Italy,,,1,['Amato-Pagano clan'],1,['Clan Di Lauro']
Contini clan,Formicola clan,Italy,,,1,['Rinaldi clan'],1,['Clan Mazzarella']
Cannonball Motorcycle Club,Rockers Motor Club,Finland,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Bandidos Motorcycle Club']
Almighty Black P. Stone Nation,D.C. Blacks,United States,United States,True,1,['Black Guerrilla Family'],1,['Aryan Brotherhood']
Black Pistons Motorcycle Club,Loners Motorcycle Club,Germany,Canada,False,1,['Outlaws Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Nazi Lowriders,Temple Street gang,United States,United States,True,1,['Mexican Mafia'],1,['Norteños']
El Forastero Motorcycle Club,Original Red Devils Motorcycle Club,United States,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Crips,Dead Man Incorporated,United States,United States,True,1,['Black Guerrilla Family'],1,['Aryan Brotherhood']
Los Lagartos,Los Tiguerones,Ecuador,Ecuador,True,1,['Cártel de Jalisco Nueva Generación'],1,['Los Choneros']
El Forastero Motorcycle Club,Iron Horsemen Motorcycle Club,United States,United States,True,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Lucchese crime family New Jersey faction,Philadelphia Greek Mob,United States,United States,True,1,['Philadelphia crime family'],1,['Philadelphia crime family']
Colombo crime family,Rizzuto crime family,United States,Canada,False,1,['Bonanno crime family'],1,['Bonanno crime family']
OVS,Venice 13,United States,United States,True,1,['Mexican Mafia'],1,['Crips']
Kyosei-kai,Yamaken-gumi,Japan,Japan,True,1,['Yamaguchi-gumi'],1,['Yamaguchi-gumi']
Mexican Mafia,Miri clan,United States,Germany,False,1,['Hells Angels Motorcycle Club'],1,['Mongols MC']
Hezbollah,Taliban,Lebanon,Afghanistan,False,1,['Al-Qaeda'],1,['Islamic State']
Bonde dos 40,Terceiro Comando,Brazil,Brazil,True,1,['Amigos dos Amigos'],1,['Comando Vermelho']
Comanchero Motorcycle Club,Cotroni crime family,Australia,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Rock Machine Motorcycle Club']
Colombo crime family,Tanglewood Boys,United States,United States,True,1,['South Brooklyn Boys'],1,['Genovese crime family']
Bandidos Motorcycle Club,Coffin Cheaters,United States,Australia,False,1,['Hells Angels Motorcycle Club'],1,['Finks Motorcycle Club']
La Nueva Familia Michoacana,Los Correa,Mexico,,,1,['Cárteles Unidos'],1,['Cártel de Jalisco Nueva Generación']
Aryan Brotherhood,Thief in law,United States,Soviet Union,False,1,['American Mafia'],1,['Hells Angels Motorcycle Club']
Clan De Luca Bossa,Mallardo clan,Italy,Italy,True,1,['Secondigliano Alliance'],1,['Clan Mazzarella']
Avenues,Los Negros,United States,Mexico,False,1,['Sinaloa Cartel'],1,['18th Street Gang']
Comando Classe A,Família do Norte,Brazil,Brazil,True,1,['Revolutionary Armed Forces of Colombia'],1,['Comando Vermelho']
Diablos Motorcycle Club,Indian Posse,United States,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Asian Boyz,Nuestra Familia,United States,United States,True,1,['Crips'],1,['Fresno Bulldogs']
Almighty Black P. Stone Nation,Pirus,United States,United States,True,1,['Bloods'],1,['Crips']
Iron Horsemen Motorcycle Club,Rockers Motor Club,United States,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Bandidos Motorcycle Club']
Bloods,D.C. Blacks,United States,United States,True,1,['Black Guerrilla Family'],1,['Nazi Lowriders']
Prisoners of War MC,Rockers Motor Club,,Canada,,1,['Hells Angels Motorcycle Club'],1,['Bandidos Motorcycle Club']
Chosen Few Motorcycle Club,Mongols MC,United States,United States,True,1,['Outlaws Motorcycle Club'],1,['Outlaws Motorcycle Club']
Devils Diciples Motorcycle Club,Mongols MC,United States,United States,True,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Black Dragons,Menace of Destruction,United States,United States,True,1,['Asian Boyz'],1,['Tiny Rascal Gang']
Los Rojos,Toonerville Rifa 13,Mexico,United States,False,1,['Mexican Mafia'],1,['Mara Salvatrucha']
Hamas,Harakat Hezbollah al-Nujaba,Palestine,,,1,['Houthis'],1,['Islamic State']
Gulf Cartel,Vineland Boys,Mexico,United States,False,1,['Sinaloa Cartel'],1,['18th Street Gang']
Comando Vermelho,Los Paisas,Brazil,Colombia,False,1,['Revolutionary Armed Forces of Colombia'],1,['Tren de Aragua']
Cártel de Tláhuac,Los Ciclones,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],1,['Sinaloa Cartel']
Avenues,Norteños,United States,United States,True,1,['Mongols MC'],1,['18th Street Gang']
Los Viagras,South Pacific Cartel,Mexico,Mexico,True,1,['Beltrán-Leyva Organization'],1,['Guerreros Unidos']
Chicanos Motorcycle Club,Rock Machine Motorcycle Club,Germany,Canada,False,1,['Bandidos Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Philadelphia crime family,Rudaj Organization,United States,United States,True,1,['Gambino crime family'],1,['Gambino crime family']
Almighty Saints,Ñetas,United States,Puerto Rico,False,1,['Latin Kings'],1,['Latin Kings']
Philadelphia crime family,Westies,United States,United States,True,1,['Gambino crime family'],1,['Genovese crime family']
Black Guerrilla Family,Tiny Rascal Gang,United States,United States,True,1,['Crips'],1,['Mexican Mafia']
Los Negros,Los Talibanes,Mexico,Mexico,True,1,['Sinaloa Cartel'],1,['Cártel de Jalisco Nueva Generación']
Comanchero Motorcycle Club,United Nations (gang),Australia,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Logan Heights Gang,Temple Street gang,United States,United States,True,1,['Mexican Mafia'],1,['Norteños']
Merciless Souls Motorcycle Club,Warlocks MC,,,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Galloping Goose Motorcycle Club,Original Red Devils Motorcycle Club,United States,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
'Ndrina Serraino,Condello-Rosmini-Imerti,Italy,,,1,"[""'Ndrina Alvaro""]",1,"[""'Ndrina De Stefano""]"
Independent Cartel of Acapulco,Yakuza,Mexico,Japan,False,1,['Los Viagras'],1,['Cárteles Unidos']
Galloping Goose Motorcycle Club,Iron Horsemen Motorcycle Club,United States,United States,True,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Big Circle Gang,Sun Yee On,China,Hong Kong,False,1,['American Mafia'],1,['14K']
Bandidos Motorcycle Club,Chosen Few Motorcycle Club,United States,United States,True,1,['Outlaws Motorcycle Club'],1,['Outlaws Motorcycle Club']
Cártel de Caborca,Los Lobos,Mexico,Ecuador,False,1,['Cártel de Jalisco Nueva Generación'],1,['Sinaloa Cartel']
Fukuhaku-kai,Yamaken-gumi,Japan,Japan,True,1,['Yamaguchi-gumi'],1,['Yamaguchi-gumi']
Loners Motorcycle Club,Warlocks MC,Canada,,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Barrio Azteca,Los Metros,United States,Mexico,False,1,['Los Zetas'],1,['Sinaloa Cartel']
La Familia Michoacana,Los Correa,Mexico,,,1,['Cárteles Unidos'],1,['Cártel de Jalisco Nueva Generación']
Los Ardillos,Los Viagras,Mexico,Mexico,True,1,['Beltrán-Leyva Organization'],1,['Cártel de Jalisco Nueva Generación']
'Ndrina Facchineri,Commisso 'ndrina,Italy,Italy,True,1,"[""'Ndrina Lo Presti""]",1,"[""'Ndrina Piromalli""]"
Camorra clan Zaza,Contini clan,,Italy,,1,['Nuova Famiglia'],1,['Nuova Camorra Organizzata']
'Ndrina Grande Aracri,Oliverio,Italy,,,1,"[""'Ndrina Arena""]",1,"[""'Ndrina Dragone""]"
'Ndrina Accorinti,'Ndrina Bonavota,Italy,Italy,True,1,"[""'Ndrina Mancuso""]",1,"[""'Ndrina Mancuso""]"
Comanchero Motorcycle Club,Diablos Motorcycle Club,Australia,United States,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Kyosei-kai,Sumiyoshi-kai,Japan,Japan,True,1,['Yamaguchi-gumi'],1,['Yamaguchi-gumi']
Mallardo clan,Nuova Camorra Organizzata,Italy,Italy,True,1,['Clan dei Casalesi'],1,['Clan Mazzarella']
Rockers Motor Club,White Boy Posse,Canada,Canada,True,1,['Hells Angels Motorcycle Club'],1,['Bandidos Motorcycle Club']
