a,b,country_a,country_b,same_country,n_coop_partners,coop_partners,n_adversaries,adversaries
Juárez Cartel,Martinez Familia Sangeros,Mexico,Puerto Rico,False,3,"['Cali Cartel', 'Guadalajara Cartel', 'Gulf Cartel']",1,['Gulf Cartel']
Cárteles Unidos,Mara Salvatrucha,Mexico,United States,False,2,"['La Familia Michoacana', 'Sinaloa Cartel']",2,"['Beltrán-Leyva Organization', 'Los Zetas']"
Nuova Camorra Organizzata,Stidda,Italy,Italy,True,2,"[""'Ndrangheta"", 'Nuova Mala del Brenta']",2,"['American Mafia', 'Sicilian Mafia']"
Cotroni crime family,Musitano crime family,Canada,Canada,True,3,"['Hells Angels Motorcycle Club', 'Siderno Group', 'West End Gang']",1,['Buffalo crime family']
Mara Salvatrucha,United Blood Nation,United States,United States,True,1,['Sex Money Murder'],3,"['Crips', 'Latin Kings', 'Ñetas']"
Aprea-Cuccaro clan,Clan Marfella,Italy,,,3,"['Clan De Luca Bossa', 'Clan Sarno', 'Secondigliano Alliance']",1,['Clan Lago']
Knights Templar Cartel,Los Talibanes,Mexico,Mexico,True,3,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Sinaloa Cartel']",1,['Cártel de Jalisco Nueva Generación']
Chichesters,Shirt Tails,United States,United States,True,3,"['Dead Rabbits', 'Forty Thieves', 'Kerryonians']",1,['Bowery Boys']
Campanella Park Piru,West Side Piru,,,,3,"['Cedar Block Piru', 'Fruit Town Piru', 'Tree Top Piru']",1,['Barriox13']
Alfieri clan,Clan Fabbrocino,Italy,Italy,True,3,"['Clan Cava', 'Clan Nuvoletta', 'Nuova Famiglia']",1,['Nuova Camorra Organizzata']
Los Rojos,Tijuana Cartel,Mexico,Mexico,True,2,"['Mexican Mafia', 'Sinaloa Cartel']",2,"['Cártel de Jalisco Nueva Generación', 'Mara Salvatrucha']"
