id;dia_semana;horario;mortos
174982;Quarta;15:00:00;0
174984;Quarta;07:10:00;0
174987;Quarta;18:50:00;0
174988;Quarta;08:20:00;0
174989;Segunda;18:25:00;0
174991;Quarta;17:30:00;0
174992;Quarta;10:20:00;0
174993;Quarta;14:30:00;0
174997;Quarta;16:30:00;0
174998;Segunda;14:00:00;0
174999;Quarta;06:55:00;0
175001;Quarta;17:00:00;0
175003;Quarta;13:44:00;0
175004;Quarta;21:30:00;0
175005;Quarta;20:15:00;0
175008;Quarta;18:20:00;0
175009;Quarta;16:00:00;0
175011;Quarta;17:20:00;0
175012;Quarta;18:30:00;0
175013;Quarta;19:10:00;0
175014;Quarta;19:15:00;0
175015;Quarta;18:00:00;0
175016;Quarta;18:20:00;0
175017;Quarta;20:00:00;0
175018;Quarta;20:50:00;0
175019;Quarta;20:40:00;0
175020;Quarta;16:15:00;0
175021;Quarta;12:20:00;0
175023;Quarta;19:45:00;0
175025;Quarta;21:00:00;0
175026;Quarta;20:30:00;0
175027;Quarta;19:40:00;0
175028;Quarta;19:20:00;0
175030;Quarta;17:00:00;0
175031;Quarta;09:30:00;0
175032;Segunda;22:04:00;0
175033;Quarta;21:00:00;1
175034;Quarta;11:35:00;0
175035;Quarta;12:25:00;0
175038;Quarta;20:30:00;0
175039;Quarta;18:00:00;0
175040;Quarta;22:30:00;0
175041;Quarta;20:20:00;0
175042;Quarta;18:00:00;0
175043;Quarta;14:10:00;0
175044;Quarta;12:35:00;0
175046;Quarta;12:45:00;0
175047;Quarta;18:20:00;0
175048;Quarta;23:05:00;0
175049;Quarta;21:15:00;0
175050;Quarta;20:30:00;0
175051;Quarta;08:30:00;0
175052;Quarta;22:20:00;0
175053;Quarta;15:20:00;0
175054;Quarta;21:15:00;0
175055;Quarta;13:15:00;0
175056;Quarta;23:45:00;0
175057;Quarta;18:10:00;0
175059;Quarta;21:35:00;0
175060;Quarta;22:00:00;0
175061;Quarta;21:10:00;0
175062;Quarta;22:40:00;0
175063;Quarta;08:30:00;0
175064;Quarta;19:00:00;0
175065;Quarta;23:30:00;0
175067;Terça;09:30:00;0
175068;Segunda;02:00:00;0
175069;Quarta;16:30:00;0
175071;Quinta;02:25:00;0
175072;Quarta;08:00:00;0
175073;Quarta;18:30:00;0
175075;Quarta;20:15:00;0
175076;Terça;08:00:00;0
175078;Quarta;13:30:00;0
175079;Terça;18:50:00;0
175080;Quarta;19:20:00;0
175081;Quarta;15:10:00;0
175082;Quarta;16:50:00;0
175083;Quarta;21:30:00;0
175084;Quarta;16:40:00;0
175085;Quarta;22:20:00;0
175086;Quarta;08:50:00;0
175087;Quarta;19:45:00;0
175088;Quarta;13:50:00;0
175089;Quarta;17:00:00;0
175090;Quinta;05:40:00;0
175091;Quarta;19:00:00;0
175092;Quinta;05:25:00;0
175093;Quarta;18:00:00;0
175094;Quarta;19:45:00;0
175095;Quinta;03:20:00;0
175097;Quinta;02:40:00;0
175099;Quinta;04:00:00;0
175100;Quarta;17:45:00;0
175102;Quarta;22:30:00;0
175103;Segunda;04:00:00;0
175106;Quarta;20:15:00;0
175107;Quinta;02:30:00;0
175108;Quarta;06:50:00;0
175109;Quarta;16:50:00;0
175110;Segunda;04:00:00;0
175111;Quinta;07:30:00;0
175112;Quarta;11:30:00;0
175113;Quinta;04:00:00;0
175114;Terça;18:50:00;0
175116;Segunda;00:00:00;0
175117;Terça;19:55:00;0
175118;Terça;23:40:00;0
175119;Quinta;05:35:00;0
175120;Quarta;22:00:00;0
175121;Quarta;06:15:00;0
175122;Segunda;12:00:00;0
175124;Segunda;05:30:00;0
175125;Terça;10:30:00;0
175128;Quinta;07:45:00;0
175130;Quarta;07:00:00;0
175131;Segunda;04:10:00;0
175133;Segunda;01:52:00;0
175134;Quarta;10:10:00;0
175137;Quarta;19:00:00;0
175138;Quinta;08:00:00;0
175140;Segunda;09:30:00;0
